"--164552ea90517a40","Повстання"
"heist_contact_skirmish","Утримання"
"heist_contact_the_butcher","М'’ясник"
"heist_contact_the_butcher_description","The Butcher's business is weapons - their procurement, sale and distribution. With Gage on an extended vacation"""
"heist_contact_the_dentist","Дантист"
"heist_contact_the_dentist_description","Про Дантиста відомо мало. Він представляє велику клієнтуру, яку називає своїми пацієнтами. Він - цілеспрямований, педантичний планувальник, який дуже зацікавився бандою Пейд. Він єдиний, хто знає, як звільнити старого Гокстона."
"heist_contact_the_elephant","Слон"
"heist_contact_the_elephant_description","Джон Генрі Сіммонс, або Слон, як його кличуть в пресі. Брудний республіканський конгресмен з таємними зв'язками які ведуть аж до самого верха."
"heist_contact_vlad","Влад"
"heist_contact_vlad_description","Українець, який колись був страхітливим виконавцем у російському організованої злочинності, Влад протягом багатьох років веде свій власний вимагання і злочинний рекет у D.C. зі своєї місцевої пекарні."
"heist_crime_spree","РОЗГУЛ ЗЛОЧИННОСТІ"
"heist_crojob1","Бомба: Доки"
"heist_crojob1_crimenet","Мої контакти в Спліті повідомили про те, що вантажне судно Моретта має пришвартуватися у Вашингтоні найближчими днями. Воно перевозить велику кількість термобаричної вибухівки. Мені потрібна кваліфікована команда щоб забрати їх. Бажано тихо.$NL;$NL;» Відкрийте ворота дока$NL;» Перемістіть корабель до Завантажувального Доку 3B$NL;» Збирайтесь на корабель та обшукайте контейнери$NL;» Забирайте бомбу та тікайте"
"heist_crojob2","Бомба: Ліс"
"heist_crojob2_briefing","Морета знаходиться в ізольованому доці, чекаючи митного очищення. Ось тут ви вступаєте в гру. Як тільки ви опинитеся на доковому дворі, вам потрібно буде перемістити її на причал, звідки ви зможете піднятися на борт. З 2B до 3B. Відкрийте докові ворота і дайте капітану знати, що він може рухатися. Як тільки Морета буде пришвартована в 3B, ви зможете піднятися на борт і вкрасти вибухівку. Просто? Ну, може бути, не так просто. Охорона занадто жорстка для корабля, завантаженого балканськими сільськогосподарськими продуктами. Починає здаватися, що багато підозрілого проходить через цей маршрут. Тому будьте обережні."
"heist_crojob2_crimenet","Велика кількість термобаричної вибухівки має бути доставлена на безпечному поїзді на завод, де вона буде утилізована. Мені потрібна кваліфікована команда, щоб повернути цю вибухівку. Надішліть повідомлення. Зробіть це голосно.$NL;$NL;» Знайти правильний вагон$NL;» Наповнити вагон водою$NL;» Знайти C4 і використати його, щоб відкрити вагон$NL;» Взяти бомбу і втекти"
"heist_crojob2_hl","Бомба: Доки"
"heist_crojob3_briefing","Ті термобаричні вибухівки були завантажені на вантажний поїзд сьогодні вранці. Він прямує до Норфолка. Може бути, щоб продати їх, може бути, щоб утилізувати - це не має значення, тому що він туди не доїде. Рухомий поїзд важко зупинити, тому ми робимо це по-старому. Підірвіть ділянку моста, і весь потяг полетить униз. Це голосно і безладно, але ефективно. Вагони будуть розкидані по всьому. Один із них має сховище, де знаходиться наша вибухівка - шукайте в кожному з них, поки не знайдете його."
"heist_crojob3_hl","Бомба: Ліс"
"heist_dah","Пограбування діамантів"
"heist_dah_briefing","Гаразд, слухайте уважно. Щоб потрапити в той сейф, вам потрібно обійти систему безпеки. Розвідка каже, що син Гарнета, Ральф, має ключ-карту для доступу, але він також святкує день народження, так що це може бути проблемою. До того ж, є тризначний код безпеки, розділений на кілька ноутбуків, бо хтось вирішив, що так буде безпечніше. Було б чудово, якщо б ви змогли отримати як ключ-карту, так і код, не піднявши тривоги, можливо, здійснивши тиху та швидку операцію над містером Гарнетом."
"heist_dah_crimenet","У «Garnet Group Building» знаходиться сховище з діамантами на мільйони доларів. У ньому також повно високотехнологічних систем безпеки та охоронців, які стріляють на ураження; на щастя для нас, там відбувається вечірка з нагоди дня народження, щоб відволікти їх.$NL;$NL;« Знайдіть і перенастройте два роутери, щоб Бейн зміг зламати систему безпеки$NL;» Знайдіть три ноутбуки та отримайте всі частини коду безпеки$NL;« Візьміть ключ-карту сина генерального директора$NL;» Відкрийте сховище та викрадіть діаманти"
"heist_dah_hl","Викрадання діамантів"
"heist_dark","Murky Station"
"heist_dark_briefing","Я не буду брехати; ми ризикуємо, подвійно перехитривши Акана, але я вважаю, що це правильний вибір. Перше завдання - отримати бомбу EMP, яку перевозить Murkywater. Вони зроблять заплановану зупинку. Це буде наша можливість.$NL;Увійдіть тихо, знайдіть EMP і виходьте."
"heist_dark_crimenet","Щоб отримати бомбу EMP, нам доведеться мати справу з Murkywater. Вони перевозять купу товарів залізницею і зроблять заплановану зупинку на прихованому залізничному дворі. Я б волів зробити це зі стріляниною, але це занадто ризиковано, так?$NL;Знайти поїзди$NL;Знайти частини бомби EMP$NL;Винести їх і втекти"
"heist_dark_hl","Murky Station"
"heist_day","День $DAYS;:"
"heist_des","Скеля Генрі"
"heist_des_briefing","Дорогі друзі, це буде важко. Катару посилили свій пошук задниці Бейна, і нам потрібно забрати їхні іграшки, так?$NL;Склад, який ми збираємося атакувати, - це найважливіший об'єкт Murkywater, і вони працюють над дуже дивними проектами. Вони дозволили мені наблизитися до цього місця тільки один раз, і я не побачив багато, тому ми не можемо знати, чого очікувати. Я використав усі останні послуги зі своїми залишилися контактами в Murkywater і дістав нам шлях усередину, але ми йдемо наосліп. Як тільки ми зробимо це, вороття назад не буде. Ми фактично оголошуємо відкриту війну Murkywater, але ми винні цим покидькам за Бейна. Буде рівень безпеки, якого ми раніше не бачили, тому не залишайтеся без діла, коли ви всередині, так?"
"heist_des_crimenet","Таємний об'єкт Murkywater у Генрі'с Рок містить багато підступних проектів. Murky досліджує і експериментує на двох золотих випадках, подібних до тих, які були вилучені з Golden Grin Casino і з FBI evidence lockup. Ми збираємося забрати їх з їхніх рук.$NL;$NL;» Увійти до об'єкту Генрі'с Рок$NL;» Пошукати і повернути дві золоті коробки$NL;» Відключити будь-які засоби захисту, щоб забезпечити втечу$NL;"
"heist_des_crimenet_hl","Скеля Генрі"
"heist_des_hl","Скеля Генрі"
"heist_dinner","Скотобійня"
"heist_dinner_briefing","Murkywater вже місяцями перевозить щось через D.C. конвоями. Я пручався не атакувати ці конвої, поки ми не отримали шанс на великий приз. Ось він. Золоті злитки. У нас є відволікання на Вудроу, щоб дістати його туди, куди нам потрібно, потім ми збираємося відокремити броньований автомобіль від озброєного конвою. Як тільки він буде ізольований, атакуйте його і візьміть те солодке добро. Au, так."
"heist_dinner_crimenet","Ми атакуємо конвой біля доків. Вантаж - золото. Конвой - Murkywater. Питання?$NL;$NL;» Атакувати конвой$NL;» Вилучити золото$NL;» Підготувати пастку$NL;» Підняти золото звідти$NL;» Втекти"
"heist_dinner_hl","Скотобійня"
"heist_dream","Скотобійня"
"heist_dream_hl","Скотобійня"
"heist_election_day","День виборів"
"heist_election_day_1_hl","Правильна доріжка"
"heist_election_day_2_hl","Рішучий голос"
"heist_election_day_3_hl","Бюлетень, що розбиває"
"heist_election_day_crimenet","Злочин - це неприємна лінія роботи, але час, коли ви занурите свої пальці в справжню брудну справу - політику. Слон хоче, щоб ви допомогли його чоловікові Боб МакКендріку потрапити в крісло мера.$NL;$NL;» Знайти виборчі машини$NL;» Зламати машини, щоб змінити результати голосування$NL;» Переконатися, що жодна підозра не впаде на Слона"
"heist_escape_cafe_briefing","...До біса, вони нас викрили, вони на нас!$NL;Вам потрібно втекти з здобиччю!"
"heist_escape_cafe_hl","Втеча Через Кав'ярню"
"heist_escape_garage_briefing","...Втратити їх... Втратити їх... Чорт... ЧОРТ!$NL;Вам потрібно стати і битися!"
"heist_escape_garage_hl","Гаражна Втеча"
"heist_escape_overpass_briefing","...Боже, вони прямо на вас, готуйтеся до удару!"
"heist_escape_overpass_hl","Втеча через естакаду"
"heist_escape_park_briefing","...Чорт, ми підхопили хвіст, хлопці, тепер ніяк не відірватися!$NL;"
"heist_escape_park_hl","Втеча з парку"
"heist_escape_street_briefing","...Вони йшли за нами від місця злочину, зміна машини не вдалася, всі тримайтеся!$NL;"
"heist_escape_street_hl","Втеча по вулиці"
"heist_family","Магазин діамантів"
"heist_family_briefing","Усі виставкові вітрини всередині підключені до сигналізації. Відключіть сигналізацію, а потім викрадіть діамантові прикраси. Водій для втечі трохи нервовий, тому тримайте це тихо і методично. Усе зберіть. Візьмемо все!"
"heist_family_crimenet","Це високомодний ювелірний магазин. Більшість діамантів всередині. Бейн хоче багато мішків. Є сигналізація, підключена до виставкових вітрин. Це буде важко.$NL;$NL;» Розвідайте місце ретельно.$NL;» Перевірте на наявність охоронців, сигналізацій і камер$NL;» Наповніть свої мішки діамантовими прикрасами і дістаньтеся до машини для втечі$NL;"
"heist_family_hl","Магазин діамантів"
"heist_fex","Маєток Булука"
"heist_fex_briefing","OK you chops, we're going to run this heist for Vlad, even though our operations in DC are at a critical point. I'm sending you to take out Buluc where he feels the most safe- his island mansion off the Mexican coast. Now that the Coyopa's ties to the Dentist and the Kataru have gone to kek, Buluc is trying to broaden his contact network by hosting a masquerade party for dwankie American wannabe-gangsters. It's the perfect time to get to him, for sure. Accurate details of the place have been hard to come by, but I have been able to tap into the mansion's elaborate surveillance system, and... well... let's say bribed"" a couple of people for some intel. We're going in at sundown"
"heist_fex_crimenet","Привіт, хлопці, Владу знову потрібна ваша допомога. Моя дружина зла на мене, тому що той виродок Булук, голова картелю Койопа, посадив мого шурина у в'язницю. Мені потрібно, щоб ви послали повідомлення підземному світу, що ніхто не чіпає Владу і не залишається безкарним. Тому я хочу, щоб ви вбили Булука. Зробіть йому боляче, зробіть це криваво. Зробіть мені справжнє задоволення, і я вам зобов'язання, так?$NL;$NL;» Проникнути до маєтку$NL;» Увійти до офісу Булука$NL;» Убити Булука$NL;» Втекти"
"heist_fex_hl","Маєток Булука"
"heist_firestarter","Підпалювач"
"heist_firestarter_1_briefing","Маленька пташка сказала мені, що Мендоси летять за додатковою зброєю на випадок війни з Ектосом. Ми вирушаємо на їхній аеродром, знаходимо зброю і або забираємо її всю, або знищуємо. краще забрати, бо тоді грошей буде більше."
"heist_firestarter_1_hl","Аеропорт"
"heist_firestarter_2_briefing","Тепер Ектос каже мені, що нам потрібно вдарити по самих Мендосах, щоб отримати інформацію. Де вони зберігають свої гроші, власне. На наше щастя, хтось із картелю Мендоса здав інформацію, що їх розслідує ФБР. Отже, все, що нам потрібно зробити, це увірватися в місцеве відділення ФБР, яке займається картелем, щоб отримати дані. І так, я знаю. З одного пекла в інше..."
"heist_firestarter_2_hl","Сервер ФБР"
"heist_firestarter_3_briefing","Це те саме місце, люди... Цей банк зберігає весь капітал Мендосів північніше кордону. Старенькі бабусі щодня проходять повз свої кровні гроші. Приховані на виду, як каже Ектос. Щонайменше 100 мільйонів доларів чорними грошима. Що ви будете робити, то увійдете всередину, візьмете під контроль натовп, потрапите до сейфу, не викликавши сигналу тривоги. Потім влаштуйте пожежу і зніміть це на камеру. Ектос хоче, щоб це було саме так."
"heist_firestarter_3_hl","Банк Trustee"
"heist_firestarter_crimenet","Ви потрібні Гектору у війні проти картелю Мендози.$NL;$NL;» Перехопіть збройний вантаж Мендози в аеропорту$NL;» Заберіть дані картелю з офісів ФБР$NL;» Спаліть банк, який тримає гроші Мендози"
"heist_fish","Пограбування Яхти"
"heist_fish_crimenet","Я знаю, що мер МакКендрик був своєрідною... перешкодою для банди Пейддей. Тепер у мене є дуже достовірна інформація, що він переправляє велику кількість нелегальних грошей у країну, щоб використати їх для своєї передвиборної кампанії. Досить, щоб вирішити результат виборів, можливо. Гроші сховані на яхті, що належить некому Еттону Пауеллу, союзнику МакКендрика. Яхта зараз пришвартована в гавані Нью-Йорка.$NL;$NL;» Знайдіть сховки і заберіть гроші$NL;» Розташуйте і вилучіть сервер$NL;» Втекти з награбованим"
"heist_fish_hl","Пограбування Яхти"
"heist_fish_hl_briefing","Окей, хлопці, ви знаєте, що поставлено на карту. МакКендрику потрібні ці гроші, щоб виграти вибори, і якщо ви зможете вкрасти їх, ви вибиваєте з-під нього грунт. Давайте зіпсусмо йому свято, вилиємо холодну воду на його парад - відплатимо цьому невдячному виродкові за все, що він зробив. Отже, дістаньте ці гроші. Є ще щось, що я знайшов у файлі, який нам дав Чаррон - десь на яхті є сервер, який містить паролі до іноземних банківських рахунків, деякі з яких також використовуються МакКендриком. Вкрадіть цей сервер, і ми зможемо непогано на ньому заробіточки.$NL;Сьогодні на яхті відбувається збір коштів на підтримку МакКендрика. З телебаченням і всім іншим. Але свято в основному на верхній палубі, тому якщо ви проникнете тихо, ви зможете увійти і вийти, і ніхто нічого не помітить."
"heist_four_stores","Чотири Магазини"
"heist_four_stores_briefing","Подивіться, я знаю, що Влад божевільний. Але в нього багато зв'язків, і я маю гарне відчуття, що в нього є підходящая ниточка до деяких великих справ у майбутньому. Це гарний старт. Просто зберігайте холодну голову, поки справи не підуть вгору."
"heist_four_stores_crimenet","Влад повернувся в місто і йому не подобається, що власники магазинів працюють з москалями. Покажіть їм що Влад робить з нелояльними земляками.$NL;$NL;» Розшукайте чотири магазини$NL;» Вкрадіть всі їх гроші$NL;» Перевірте наявність сейфів щоб їх зламати"
"heist_four_stores_hl","Чотири Магазини"
"heist_framing_frame","Мистецтво Підстави"
"heist_framing_frame_1_briefing","Сенатор полюбляє збирати витвори мистецтва - зокрема ар брют. На щастя для нас, Галерея Капітолія проводить виставу цього тижня. Вам треба забрати помічені малюнки до апартаментів сенатора. В них будуть встановлені камери. Огляд всередині зробить вашу роботу легше, повірте мені."
"heist_framing_frame_1_hl","Картинна Галерея"
"heist_framing_frame_2_briefing","ОК, камери встановлені в картини. Ми готові. Люди сенатора нервують, але готові мати з нами справу. Тож давайте займемося ділом. Гроші на арт. Я призначив місце зустрічі. Ви зустрінетеся на покинутій залізничній станції. Успіхів."
"heist_framing_frame_2_hl","Обмін в Потягу"
"heist_framing_frame_3_briefing","Це квартира сенатора. Гарний район, хоч і висока безпека. Він уже повісив картини, тож наші камери в мережі і передають сигнал. Ви можете підключитися до трансляції з даху будівлі, на жаль, ми не змогли зробити краще. Увірвіться у його секретний сейф, заберіть золото і залиште трохи кокаїну, щоб довершити роботу. Ми можемо отримати доступ до сейфа тільки за допомогою пароля, тож знайдіть якісь його ґаджети, і я зроблю решту. Успіхів."
"heist_framing_frame_3_hl","Підстава"
"heist_framing_frame_crimenet","Слон хоче підставити сенатора-соперника.$NL;$NL;» Вкрадіть арт, який хоче сенатор, із галереї$NL;» Встановіть камери в викрадені картини і укладіть угоду$NL;» Увійдіть у квартиру сенатора і підкиньте кокаїн у його сейф"
"heist_friend","МАЄТОК ОБЛИЧЧЯ ЗІ ШРАМОМ"
"heist_friend_crimenet","Я вже деякий час займаюся контрабандою зброї на Карибах. Це було дуже вигідно, але деякі з старих ділків у регіоні не схвалюють мою присутність на місцевому ринку. Конкретно болівійський картель Соси. Оскільки вони не змогли конкурувати зі мною на рівних, вони вирішили атакувати мою операцію - потопивши один із моїх кораблів, викравши мої товари і вбивши моїх оперативників. Це було дуже нерозумно. Тепер вони повинні заплатити. Ви стягнутимете цю плату кров'ю.$NL;$NL;» Отримайте доступ до будинку$NL;» Викиньте Ернесто Сосу і вбийте його$NL;» Відкрийте секретний сейф$NL;» Втекти з награбованим"
"heist_friend_hl","МАЄТОК ОБЛИЧЧЯ ЗІ ШРАМОМ"
"heist_friend_hl_briefing","Ернесто Соса - місцевий бос у Майамі для картеля Соси, і М'ясник хоче його вбити. Ви полюбите це: він живе у старому маєтку Тоні Монтани в Майамі-Біч. Так, це той самий Скайфайс, легендарний наркобарон 80-х. У будь-якому випадку, вам доведеться увірватися в маєток, знайти спосіб увійти і потім вбити Ернесто Сосу. Це не буде легко, будинок як фортеця. Але ви можете це зробити. О так, я майже забув - у тому будинку має бути багато грошей і іншого награбованого. Вкрадіть їх. Очистіть їх. Але головне - вбийте Ернесто Сосу."
"heist_gallery","Картинна Галерея"
"heist_gallery_briefing","I don't know much about art, but I know what I like - and that is paintings that sell. We're headed back to the Gallery. The brochure talks about the cultural importance of art"""
"heist_gallery_crimenet","Бейн хоче, щоб ви повернулися до галереї.$NL;$NL;» Розвідайте все як слід.$NL;» Перевірте охорону і камери$NL;» Заберіть позначені картини і дістаньтеся до машини для втечі"
"heist_gallery_hl","Картинна Галерея"
"heist_glace","Міст Грін"
"heist_glace_briefing","План простий: під покровом темряви, ми вдаримо по конвою коли вони перетинають Міст Грін. Насправді - ми підірвемо міст з вибухівкою. Це зупинить весь рух, чи не так? Ми заберемо в'язня, посадимо його на фултоновий небесний гак та зробимо так, щоб він розчинився у повітрі."
"heist_glace_crimenet","Пора витягти цього Казао із в'язниці, щоб ми могли отримати інформацію, яку він має про Кенто. Я організував трохи... проблем... щоб його перевели до іншої в'язниці під час конвою. Ми влаштуємо засідку на цей конвой і витягнемо в'язня. Це не буде тихо, хлопці, нам доведеться вжити надзвичайних заходів, щоб зупинити тюремні вантажівки. І так, Казао не знає, що ми його витягуємо, тож він буде дуже здивований!$NL;$NL;» Знайдіть вантажівки$NL;» Відкрийте вантажівки і знайдіть в'язня$NL;» Супроводжуйте в'язня до вежі$NL;» Відправте в'язня на гелікоптері$NL;» Втекти"
"heist_glace_hl","Міст Грін"
"heist_haunted","Кошмар в криївці"
"heist_haunted_briefing","Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;Тільки робота і ніяких розваг робить Вульф нудним хлопчиком. Тільки робота і ніяких розваг робить Вульф нудним хлопчиком.$NL;"
"heist_haunted_crimenet","Прокинься..."
"heist_haunted_hl","Нічний кошмар у безпечному будинку"
"heist_hox","Втеча Гокстона"
"heist_hox_1_asset_armoredcar","Броньована Машина"
"heist_hox_1_briefing","The Dentist got Hoxton a re-trial. Uh, not you, Hox - I mean Old... Look, we'll sort out names later. The trial will be quick. With his record, he ain't gonna walk, but that's not the point. The point is he's moving, and we can hit him in transit. We're going to grab him right after the hearing. A nice little screw you"" to the US justice system.$NL;$NL;The plan is as loud as it gets: we blast a wall in the courthouse"
"heist_hox_1_hl","Втеча"
"heist_hox_2_asset_hooverbuilding","Призначення"
"heist_hox_2_briefing","Що ж, парубки, дякую що звільнили мене. Але я там не мав бути з самого початку. Хтось мене підставив. Я в цьому впевнений. У федералів забагато інформації не мене. Набагато більше, чим ці шмаркаті дрочери могли накопати на мене. Хтось мене здав. І я дізнаюсь хто це. $NL;$NL;Це не буде просто. Не будемо крутитись на одному місці, так? Ніяких тіньових згод та контактів, чи схожого сміття. Ми йдемо на саме джерело. Найбільше гніздо ФБР. Знайдемо, хто мене кинув."
"heist_hox_2_hl","Пошук"
"heist_hox_3","Помста Гокстона"
"heist_hox_3_alarm","Коробка сигналізації безпечного будинку ФБР"
"heist_hox_3_briefing","Ну нарешті ми йдемо за тим кротом - стукачем, який підставив Хокса, хоче підставити нас усіх. П пора покласти цьому край. Ми знаємо, що він зараз ховається в безпечному будинку ФБР за містом. Ці безпечні будинки зазвичай будуються за одним і тим же планом. Гарні великі будинки, територія, цілодобова охорона і, найімовірніше, десь усередині є panic room. Подивіться, куди йдуть ваші податкові гроші? План простий - увійти туди, знайти нашого інформатора і покінчити з ним. Тепер я ставлю на те, що там буде компромат на нас, тож буде добре, якщо ви його теж приберете."
"heist_hox_3_crimenet","Федерали перевели крота в безпечний будинок. Вони добре ховають його особу, але не місцезнаходження. Дурні придурки. Тож ми їдемо туди, входимо і покінчимо з ним.$NL;$NL;» Розвідайте безпечний будинок і знайдіть спосіб увійти$NL;» Розберіться з охороною$NL;» Знайдіть крота$NL;» Усуньте крота$NL;» Приберіть будь-які докази"
"heist_hox_3_hl","Помста"
"heist_hox_crimenet","Дантист домігся для Хокса нового суду. Ми витягнемо його одразу після судового засідання. План настільки гучний, наскільки це взагалі можливо: ми підриваємо стіну, хапаємо Хокса і витягуємо його звідти.$NL;$NL;» Звільніть Хокса$NL;» Відведіть Хокса до броньованої машини$NL;» Супроводжуйте броньовану машину з Хоксом усередині$NL;» Втекти з Хоксом"
"heist_hoxton_1","Старий Хокстон"
"heist_hvh","Проклятий тир"
"heist_hvh_briefing","ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;МАСКА!!!!!!$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ$NL;ВБИВАЙ, ВБИВАЙ, ВБИВАЙ, БЕЗПЕКА, ВБИВАЙ, ВБИВАЙ, ВБИВАЙ"
"heist_hvh_crimenet","Тік-так, маленькі грабіжники, тік-так ..."
"heist_hvh_hl","Проклятий тир"
"heist_jewelry_store","Ювелірний магазин"
"heist_jewelry_store_briefing","Це місто - чудове місце, щоб збувати ювелірні вироби. Легко реалізувати. Дипломати і дружини олігархів купують їх - без зайвих питань. Це буде легко. Давайте почнемо."
"heist_jewelry_store_crimenet","Бейн хоче, щоб ви провели класичний пограбування ювелірного магазину. Увійдіть, заберіть товар і вибирайтесь.$NL;$NL;» Розвідайте ювелірний магазин$NL;» Перевірте офіс у тилу на наявність сейфа$NL;» Заберіть ювелірні вироби і доставте їх до машини для втечі$NL;» Вкрадіть будь-які інші цінності, які ви знайдете в магазині"
"heist_jewelry_store_hl","Ювелірний магазин"
"heist_jolly","Відлуння"
"heist_jolly_briefing","Хлопці, ви бачили новини?! На Західному узбережжі стався великий землетрус! Лос-Анджелес повністю зруйнований. І саме туди ви відправляєтеся.$NL;$NL;Виявляється, Влад уклав велику угоду, щоб перемістити деякі вантажі з Сіетла до Вашингтона. Перевізники, з якими він уклав угоду, були в Лос-Анджелесі, коли стався землетрус - мабуть, вони збиралися відправити вантаж із Лонг-Біч. Владу потрібно, щоб його вантаж був безпечно доставлений. Немає часу на планування. Лос-Анджелес зруйнований, а дороги пошкоджені, тож ми будемо скидати вас туди на гелікоптері."
"heist_jolly_crimenet","Я уклав угоду з найбільшим синдикатом на Західному узбережжі, продаючи їх сейфи на Східному узбережжі. На жаль, перша партія сейфів потрапила в біду - землетрус! Хіба це не прикол!? Ви доберете туди, забезпечите безпечну доставку тих сейфів. До біса Каліфорнію.$NL;$NL;» Знайдіть вантажівки Влада$NL;» Відкрийте вантажівки$NL;» Вивантажте сейфи"
"heist_jolly_hl","Відлуння"
"heist_kenaz_briefing","Це велика справа. Я розповім вам про все, як тільки ми почнемо, але суть така: у Голден Грін є великий сейф. Великий. Я маю на увазі, як у Благодійного банку. Чи ви прокрадетеся всередину, чи підете на повний штурм, вас чекає важка робота. Дантист не каже, що ми витягуємо з цього сейфа. Він дуже обережний щодо цього. Він сказав лише, що як тільки ми закінчимо, ми закінчимо. Контракт виконано... що б це не означало."
"heist_kenaz_crimenet","Казино Ґолден Ґрін в Лас-Вегасі має здобич, яку потрібна Дантисту. Дістаньте це для нього. $NL;$NL;» Використовуйте Планування щоб обрати гучний чи тихий підхід$NL;» Зайдіть в казино$NL;» Дотримуйтесь свого плану $NL;» Знайдіть спосіб потрапити до сховища $NL;» Заберіть таємничу здобич для Дантиста"
"heist_kenaz_e3","Казино Голден Грін Е3"
"heist_kenaz_full","Казино Ґолден Ґрін"
"heist_kenaz_hl","Казино Ґолден Ґрін"
"heist_kosugi","Тіньовий Рейд"
"heist_kosugi_briefing","Вся справа в скритності. Ґейдж хоче, щоб ви безшумно увійшли в цей склад, взяли все, що зможете, і вийшли звідти. Що найважливіше? НЕ вмикайте сигналізацію. Якщо ви це зробите, я вас витягну.$NL;$NL;Цей склад - Murkywater. На їхніх візитівках написано «приватна охорона», але насправді це просто приватна армія найманців і мародерів. Цей склад під заставою, і Ґейдж підозрює, що він повний речей, привезених з Іраку, Афганістану та інших місць, де ці вигодувані кукурудзою шахраї грають м'язами. "
"heist_kosugi_crimenet","У Murkywater є склад під заставою біля старого причалу. Подивіться, що вони там відправляють.$NL;$NL;» Увійдіть на склад непомітно$NL;» Вкрадіть все цінне, що зможете знайти$NL;» Пам'ятайте, плану Б немає$NL;» Втекти з награбованим"
"heist_kosugi_hl","Тіньовий Рейд"
"heist_lucid","Пошук"
"heist_lucid_hl","Пошук"
"heist_mad","Точка Кипіння"
"heist_mad_briefing","З усіх часів, коли можна було вирости сумління, ви вирішили, що саме зараз - найкращий час? Я не можу сказати, що мені це подобається, але я не можу сказати, що ви робите помилку. На основі того, що каже цей Джиммі, Акан дійсно потрібно зупинити. Ваше призначення - лісопилка в глушині, яка таємно є лабораторією, якою керує дивна російська організація. Джиммі каже мені, що вони проводять там деякі експерименти, які включають речі з цього світу. Увійдіть у лабораторію і викрадіть дані, які шукає Акан. Успіхів, бандо."
"heist_mad_crimenet","Ця брудна російська організація проводить дуже тривожні експерименти із секретної лабораторії в Росії. Ви не повірите, чим вони там займаються. Нам потрібно зупинити Акан від отримання даних, так?$NL;$NL;» Увійдіть на територію$NL;» Отримайте доступ до лабораторії$NL;» Отримайте дані$NL;» Втекти"
"heist_mad_hl","Точка Кипіння"
"heist_mallcrasher","Торгівельна Дробарка"
"heist_mallcrasher_briefing","Так. Ви почули його правильно. Влад серйозно. Ми йдемо до торгівельного центру та руйнуємо все, що можемо. Як тільки достатньо знищимо майна, клієнт має переосмислити свою позицію щодо грошей за захист. Брудна робота, але вам подобається забруднитись, чи не так?"
"heist_mallcrasher_crimenet","Влад хоче, щоб містер Стоун заплатив йому за захист. Щоб показати, що він має на увазі, він хоче, щоб ви знищили торговый центр Стоуна.$NL;$NL;» Знайдіть торговый центр$NL;» Пошкодити і знищити все$NL;» Забрати будь-які цінності, які ви зможете знайти"
