"--12f00d0145597481","Гелловін"
"dialog_unlock_skill_switch_offshore","It will cost you $offshore; offshore cash."
"dialog_unlock_skill_switch_spending","It will cost you $spending; spending cash."
"dialog_unlock_skill_switch_spending_offshore","It will cost you $spending; spending cash and $offshore; offshore cash."
"dialog_unlock_skill_switch_title","Ви впевнені?"
"dialog_unlock_skilltree","Ви збираєтеся почати $skill; дерево навичок.$NL;$NL;Це буде коштувати $cost; і $points; з $remaining_points; балів."
"dialog_unsuspend","This skill set is suspended, you can reset all skill points used in this skill set to make it available for use again. Would you like to reset $Name;?"
"dialog_unsuspend_title","Unsuspend Skill Set"
"dialog_use_default_keys_message","Do you wish to reset all keys to their default state?"
"dialog_vote_cancel","Abstain"
"dialog_vote_kick_no","Don't Kick"
"dialog_vote_kick_yes","Вигнати"
"dialog_wait","Please wait"
"dialog_wait_title","Please wait"
"dialog_waiting_for_server_response_title","Waiting for game to respond"
"dialog_warning_title","Попередження"
"dialog_xp_to_specialization","XP to Perk Conversion"
"dialog_yes","Так"
"edebc4f3e4c69f21","Disable Gamesight"
"err_disk","Not enough available space to load trophies. Please exit the game, ensure there is at least $MB;MB space available and try again."
"err_ins","Виникла помилка під час завантаження трофеїв. Будь ласка, вийдіть з гри і спробуйте ще раз."
"err_load","Loading trophies..."
"f5cb95f8f86386c5","Gamesight tells us how marketing campaigns are received, which helps us bring new players into PAYDAY 2 and ensure you have new heisters to play with in the years to come.$NL;$NL;Gamesight is optional, and you can disable it at any time in the Advanced options."
"legal_text","PAYDAY 2 ©️ 2019 Starbreeze AB. Всі права захищені. PAYDAY 2, PAYDAY, Starbreeze, Starbreeze Studios та логотип Starbreeze є товарними знаками або зареєстрованими товарними знаками Starbreeze AB у Швеції та/або інших країнах. Видано компанією 505 Games. 505 Games та логотип 505 Games є зареєстрованими торговими марками 505 Games S.r.l. Усі інші торгові марки є власністю відповідних власників."
"mutator_birthday_desc","Знищення спеціальних підрозділів створює повітряні кулі, які можна підстрелити, щоб дати всій команді бонус, який буде або прямим покращенням, або тимчасовим, залежно від того, який підрозділ знищено. Деякі підрозділи частіше створюють кулі, ніж інші. Одночасно може бути активним кілька бонусів."
"nx64_noti_button_back","$BTN_CANCEL; BACK"
"nx64_noti_dialog_subject","INVITE FROM: $player_name;"
"nx64_noti_invite_accept","ПРИЙНЯТИ"
"nx64_noti_invite_decline","DECLINE"
"nx64_noti_invites_title","INVITES"
"nx64_noti_legend_view_invite","$BTN_ACCEPT; ПЕРЕГЛЯНУТИ ЗАПРОШЕННЯ"
"nx64_noti_press_to_view_p1","PRESS"
"nx64_noti_press_to_view_p2","$BTN_START;"
"nx64_noti_press_to_view_p3"," TO VIEW"
"nx64_noti_received_from","INVITATION RECEIVED FROM"
"nx64_presence_Idle","В меню"
"nx64_presence_MPEnd","Multiplayer heist ended"
"nx64_presence_MPLobby","Multiplayer lobby"
"nx64_presence_MPPlaying","Playing multiplayer heist"
"nx64_presence_SPEnd","Singleplayer heist ended"
"nx64_presence_SPPlaying","Playing single player heist"
"nx64_presence_SafeHousePlaying","In the safe house"
"ps4_presence_Idle","В меню"
"ps4_presence_MPEnd","Multiplayer heist ended"
"ps4_presence_MPLobby","Multiplayer lobby"
"ps4_presence_MPPlaying","Playing multiplayer heist"
"ps4_presence_SPEnd","Singleplayer heist ended"
"ps4_presence_SPPlaying","Playing single player heist"
"ps4_presence_SafeHousePlaying","In the safe house"
"screen_autosaving_warning_NX64","This game automatically saves data at certain points.$NL;Do not turn off the Nintendo Switch™ when this icon is shown:"
"screen_autosaving_warning_PS3","This game saves data automatically at certain points.$NL;Please don't turn off your PlayStation®4 system when the following icon is displayed:"
"screen_autosaving_warning_WIN32","This game saves data automatically at certain points.$NL;Please don't turn off the game when it is saving."
"screen_autosaving_warning_X360","This game saves data automatically at certain points.$NL;Please don't turn off your Xbox One when the following icon is displayed:"
"sm_10_desc","Nuclear warheads in the hands of a mobster? Don't ask. Vlad's ready to help you step up. Says he can help you get in touch with the cartels, but the Fed's are combing the streets looking for those missing warheads. Well, let them pull DC apart looking for you. Vlad has another job, and this one is urgent. Get to LA - fast."
"sm_10_name","Highway Incident"
"sm_10_obj","Complete the Aftershock job on the Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_12_desc","Before Vlad hands over any of that powder, he needs a little insurance. The name of the Payday Gang means something new. Having us flex a little muscle on his behalf shows his rivals how far he's come. He's a pain in the ass, I know, but after this he'll be ready to introduce you to his cartel, so it's worth it."
"sm_12_name","Paying Rent"
"sm_12_obj","Complete the Nightclub and Stealing Xmas jobs on the Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_13_desc","Vlad has hooked us up with a contact in the cartel - Hector Morales. Not quite ready to let us in with their action, not until we prove ourselves. We need to build our notoriety. So time to get a few jobs under our belts. Enough to get your names on the lips of every cop and politician in DC. That should do it."
"sm_13_name","Honest Work"
"sm_13_obj","Досягніть 50 рівень репутації."
"sm_14_desc","Hector's ready to work with us. He's looking to move a big shipment of coke to the docks. A very big shipment. Wants us riding in the truck with the product. I'm guessing this amount of blow is going to see Hector move up the ranks in the cartel. Good opportunity for us to move with him."
"sm_14_name","Promotion"
"sm_14_obj","Complete the Watchdogs job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_15_desc","The Feds were waiting for us! Someone, inside or outside the crew, but someone close to us, is a rat. We'll figure out who it was, but until then we stay professional. Hector wants us on another job, sticking it to his rivals - the Mendoza cartel. Let's do this. Maybe it will draw the traitor out."
"sm_15_name","The Price You Pay"
"sm_15_obj","Complete the Firestarter job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_16_desc","Hector's got a plan for finishing off the Mendozas, who we reckon are being moved out of the country. Part of that plan is getting info off another gang, the Cobras, but they don't want money - they want meth. Hector won't use his own people for this, so we're going to see the deal goes down. This could be what puts Hector top of the pile, so it's worth our time."
"sm_16_name","Payment Due"
"sm_16_obj","Complete the Rats job in Very hard or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_17_desc","All right, we got a new contact. A politician, calling himself The Elephant. Job is a bit of industrial sabotage. Some hot-shot scientist has figured out cold fusion. Sort of technology that will make the oil companies as dead as disco. And the ''Powers That Be'' have a lot of money in those companies, so The Elephant and his friends want to make sure this technology gets buried. Fine by me."
"sm_17_name","Power Play"
"sm_17_obj","Complete the Big Oil job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_18_desc","Getting that fusion engine off the scene will make The Elephant happy. And a happy Elephant is an Elephant that pays. He's so happy he has something else for us. The Elephant's next play is having us take out one of his opponents. So that's what we do."
"sm_18_name","Pieces Off The Board"
"sm_18_obj","Complete the Framing Frame job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_19_desc","The Elephant is more of a back-room power broker. Works through pawns he gets into position, and that is what he wants us to do now. He's got a man - Bob McKendrick - in the running to be DC's mayor. The Elephant wants to make sure his man wins that race."
"sm_19_name","The Crooks And The Crooked"
"sm_19_obj","Complete the Election Day job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_1_desc","This shouldn't be too hard. Don't worry, I got your back and will talk you through it. Gives me a chance to make sure you're still up for this life."
"sm_1_desc_old","Before we begin, we gotta wipe your slate clean. That means erasing whatever dirt the Feds already got on you. You're nothing to them right now, so this shouldn't be too hard. Don't worry, I got your back and will talk you through it. Gives me a chance to make sure you're still up for this life."
"sm_1_name","The Basics"
"sm_1_obj","Пройдіть навчальний курс «Гучне - Пограбування» або досягніть 10-го рівня репутації."
"sm_1_obj_old","Complete The Tutorial Heists on stealth and loud or reach reputation level 10."
"sm_20_desc","I don't like it when people are trying to force our hands but this guy, The Dentist, has the means to get our associate back. If we want to be able to break Hoxton out of prison we have to play along with The Dentist's little plans. Although ''little'' is truly the wrong word here. The first job he ''so kindly'' asks us to do might be the biggest job we've done yet. He wants us to prove ourselves with the ultimate bank heist - the Benevolent Bank. It's never been successfully hit. If we pull this off, he says he'll help us get a chance to get Hoxton back. But not for free, I guess we'll hear more from him after the job."
"sm_20_name","Big Time"
"sm_20_obj","Complete the Big Bank job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_21_desc","The Dentist has a job for us, something big, but before that we need to get Hoxton back - he's in maximum security. Getting to him means getting to the District Attorney. Problem is he's being protected by a sack of Russian crap, calling himself The Commissar. Solution? Remove The Commissar. Wet work isn't usually our style but...well, exceptions can be made."
"sm_21_name","Takedown Tango"
"sm_21_obj","Complete the Hotline Miami job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_22_desc","Killing The Commissar means The Dentist can get to the DA. And that opens things up for us in the field of maximum security prison transfers. Of course, there's only one guy inside that we care about - our old friend Hoxton. He's a high-value, maximum security prisoner for the Feds. Putting pressure on the DA means we can get Hoxton into position for a break-out. So that's exactly what we're going to do."
"sm_22_name","Free Bird"
"sm_22_obj","Complete the Hoxton Breakout job in Very Hard or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_23_desc","Hector, that rat, is in the ground. Now, The Dentist is setting us after something special. He's not saying what it is just yet. First things first, though. There's a Diamond at the McKendrick Museum - THE Diamond. It's a valuable rock, and we're after it. The Dentist needs this diamond for something big, really big and we want a piece of it, so let's get get over to the Museum and grab that stone."
"sm_23_name","Some Things are Forever"
"sm_23_obj","Виконайте завдання «Діамант» на дуже високій складності або вище.$NL;Це завдання вимагає, щоб ви грали від лобі до кінця пограбування."
"sm_24_desc","The Diamond might be worth a King's ransom, but to The Dentist it's just a tool. Well, part of a tool, to be precise. Seems his real prize is stored in one of the world's toughest vaults - the Golden Grin Casino. We may be able to sneak it out of there, but if things get loud we need a plan B. That's why we're bringing in Sokol. He's designed a drill - the biggest ever, with The Diamond on the tip. Pack your bags - we're going to Vegas."
"sm_24_name","A Gamble"
"sm_24_obj","Complete the Golden Grin Casino job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_25_desc","After the Golden Grin, the Payday Gang is known from DC to LA and all points between. But it looks like you're getting an international reputation too. Got a call from The Butcher. A Croatian arms dealer, looking to make it in America. And who are we to stand in the way of someone following the American dream?"
"sm_25_name","A new friend"
"sm_25_obj","Complete either The Bomb: Dockyard or The Bomb: Forest jobs on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_26_desc","Looks like The Butcher's burgeoning international operations hit something of a snag. The Sosa cartel have been interfering with her shipments. We made a little Balkan friend. Let's keep her that way."
"sm_26_name","Вартість доставки"
"sm_26_obj","Complete the Scarface job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_27_desc","You've come a long way, but don't think for a moment that this is the end. It isn't. You've made the Payday Gang the most wanted gang in the land. Keep it up. Get out there. Rob some banks. Pull off some heists. Do what you do best."
"sm_27_name","What We Do Best"
"sm_27_obj","Gain 20 Crime Spree ranks."
"sm_28_desc","Now that we have our fill of suntans and Tequila Sunrises, it's time to start planning for something juicy again. I got something in mind, but to set it up, we need some help, and the help I have in mind will take some convincing. So we gotta do something to impress them. I've got a couple sweet options for you to pick from..."
"sm_28_name","Back from Vacation"
"sm_28_obj","Complete either The Alesso Heist or the Counterfeit job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_29_desc","OK, so I've been looking at this one for a while, but needed to be sure we were ready for it. The First World Bank. Old, established, full of secrets and gold, all there for the taking. We're already famous, but this one will get us into the history books."
"sm_29_name","Secrets & Gold"
"sm_29_obj","Виконайте завдання Першого Світового Банку на дуже високій складності або вище.$NL;Це завдання вимагає, щоб ви грали від лобі до кінця пограбування."
"sm_2_desc","Okay, so this might just work out. Preparation is important though. You're a professional. You need the right gear for the job. Okay, there may not be much in the cupboard right now, but as you keep pulling off heists, get notorious, we'll get those racks and cabinets filled with all the right gear."
"sm_2_name","Getting Ready"
"sm_2_obj","Go to your inventory and equip a deployable, a perk from any perk deck and also spend five skill points."
"sm_30_desc","You gotta wonder how some characters survive this business, but I try to keep an open mind. Anyway, this guy Jimmy wants to work with us, says he has big job lined up. I did some checking and, crazy or not, the grapevine says he's OK, so it might be worth the risk. We better be sure though, because the job involves going up against notorious Russian psycho ''Akan''. Not to be messed with lightly, from what I've heard. First thing Jimmy wants us to do is intercept a Murkywater transport of... get this- an EMP bomb! Says we're gonna need it for the next phase."
"sm_30_name","Don't Wake the Bear"
"sm_30_obj","Complete the Murky Station job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_31_desc","This whole 'stopping evil psychos' thing is a little out of our comfort zone, but Jimmy is pretty convincing. Maybe we should see this one through. Only thing is... uh... we gotta go to Russia. There's a cache of high-tech data Jimmy wants us to steal, so that Akan doesn't get his hands on it. He's pretty riled up about it. But even if we take Jimmy at his word, and doing this will be kind of a public service, we can probably squeeze a nice bit of profit from it too. And hey, it'll be a change of pace, right? I hear Siberia is nice this time of year..."
"sm_31_name","Moscow Mule"
"sm_31_obj","Complete the Boiling Point job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_32_desc","Yeah... it feels like everyone is asking for help from the Payday Gang now. Vlad wants us to help out his cousin, who somehow got wind of our adventure in the Motherland. He's been good for us so far, so if you're up for it, why not hear what he has to say? Or if you're in the mood for something more... greasy, he also mentioned a warehouse full of bikers that need to be shown the way to some holiday cheer. Up to you, guys."
"sm_32_name","Animal Farm"
"sm_32_obj","Complete either the Goat Simulator job or the Santa's Workshop job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_33_desc","I usually don't like dealing with anonymous outfits, but a request has been made through the grapevine for an order of Falcogini automobiles, and the payday is substantial, worth looking into. There weren't any specifics, so we can do it on our terms. Might be a ticket to higher gains down the road. There are a lot of cops near the Falcogini dealership though, and we gotta get the cars out clean, so no storm of bullets, OK?"
"sm_33_name","That New Car Smell"
"sm_33_obj","Complete the Car Shop job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_34_desc","Our old friend The Elephant has brought us a new prospect- a member of a local biker gang. He's a real hard-ass this one, good to have around in a fight. Before he joins up permanently though, he's asked for our help in leaving his gang. Apparently, they don't take kindly to members wanting out. I say we do- it's an investment, and good karma for us. Rust also mentioned a piece of technology in the gang's possession that I could use..."
"sm_34_name","Chrome, Rubber & Tattoos"
"sm_34_obj","Complete The Biker Heist on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_35_desc","Looks like our new heister is settling in. Rust still has contacts around the city and got an interesting tip for us. There's a run-down building being used by a local gang that has a panic room filled with loot. Apparently, the room is virtually break-in proof without damaging the contents, but I've got another idea. I think you're going to have some fun with this one guys."
"sm_35_name","Heavy Lift"
"sm_35_obj","Complete the Panic Room job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_36_desc","Hey gang. I got a job for you from The Continental. Turns out they were the ones that took delivery of the Falcoginis, and have been wanting to work with us for a while. Their guy Charon is in deep shit in N.Y.C., needs to be pulled out of a situation. A mutual friend of him and Chains- John Wick, made the introductions. I got someone else I need to meet there too, that will help us in the future. So, let's get to The Big Apple."
"sm_36_name","The New York Situation"
"sm_36_obj","Complete the Brooklyn 10-10 job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_37_desc","Mayor McKendrick has been a rusty nail in our asses long enough. Time for us to give him some payback. And it's gonna be the kind politicians hate - loss of money. Wick got a tip from Charon about a big fundraiser the Mayor is holding and we're going to crash the place, but quiet-like."
"sm_37_name","Money in the Water"
"sm_37_obj","Complete The Yacht Heist on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_38_desc","''The taxman cometh'', they say. Very profound. What say we make it the other way around? Got us a nice thank-you-tip from the Continental. There's this IRS guy, a real dirtbag, about to sell a hard drive containing very sensitive information worth millions to some corporate slime-balls. If we intercept the deal, we can take that little mint away from them and keep it for ourselves. It'll be like our own version of Robin Hood, stickin' it to The Man to feed all us needy heisters."
"sm_38_name","Clowns, Death and Tax Returns"
"sm_38_obj","Complete the Undercover job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_39_desc","I've been trying to find more ways to cash in on Murkywater. They have tentacles spread all over the place, and have an uncanny way of turning up where you least expect it. There's definitely more to them than what we've seen. They've got a supply line running through D.C. I've been looking at, and it finally looks like something worth our while is coming through."
"sm_39_name","Convoy of Bricks"
"sm_39_obj","Complete the Slaughterhouse job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_3_desc","Okay. The Fed's have nothing on you. You've got the mask. You've got the guns. But have you got what it takes to make the Payday Gang the stuff of legends? Well, it's time to find out. DC's got branch banks and jewellery stores all over. Been a long while since any of them were knocked over. Too long. Let's get rich."
"sm_3_name","Let's Make Some Money"
"sm_3_obj","Complete the Jewelry Store job and the Bank Heist: Cash.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_40_desc","Sometimes fate shows you where your biggest problems are. Keeps you from getting over-confident. Looks like Murkywater got tired of us taking from them and are after revenge. A Murky agent just hacked into Crimenet- says he can shut us down permanently, and I believe him. But he also says he wants to work with us, AGAINST Murkywater. Damn way to say hello, huh? Who knows what this guy really wants, but until we know more about him, we should play along. Make the best of the situation and get some profit out of it. But don't let your guard down for a minute."
"sm_40_name","Cat Bites Dog"
"sm_40_obj","Виконайте завдання «Під горою» на дуже високій складності або вище.$NL;Це завдання вимагає, щоб ви грали від лобі до кінця пограбування."
"sm_41_desc","Well, how about that. The mountain job turned out pretty nice, under the circumstances. Hope you guys are up for a plane ride. Locke has another job he wants ''help'' with, onboard a Murkywater cargo plane. He seems hell-bent on pissing all over their operation, which is fine by me. Just keep watching for anything suspicious, 'cause I'm still not convinced he isn't waiting to stick a knife in our back."
"sm_41_name","Clowns from Above"
"sm_41_obj","Complete the Birth of Sky job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_42_desc","Still not really sure what to make of this guy, but Locke seems on the up an'up. If nothing else, the way he's been moving against Murkywater, it would be suicide to double-cross us too. And hasn't let us down so far. Says he has info about people that are trying to bring us down. Obviously, we're not gonna give them the chance..."
"sm_42_name","Damage Control"
"sm_42_obj","Complete the Heat Street job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_43_desc","Gang, after a little not-so-friendly persuasion, we got us a lead on Kento. A guy by the name of Kazuo supposedly has some info for us, with one little snag; he's rattling bars at D.C. Central. Lucky for you, I've arranged a transfer, so all we gotta do is make sure to grab him when it happens. This one is gonna get really loud, and I don't think we'll be too popular with the D.D.O.T. afterward, 'cause they're gonna be fixing more than potholes- we're taking down a bridge!"
"sm_43_name","Bridge Busters"
"sm_43_obj","Complete the Green Bridge job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_44_desc","Time for a little trip up north, guys. Locke has set up a sweet weapons deal with the Butcher, but he needs some extra protection. The deal is going down in a remote Alaskan port, so pack your thermal undies. You'll be traveling incognito, so I've got train tickets booked for you."
"sm_44_name","Polar Safari"
"sm_44_obj","Complete the Alaskan Deal job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_45_desc","Схоже, Локк прийняв нас за купку бовдурів на Алясці, і М'ясник розлючений. Після того, що він зробив, ми повинні показати йому, що буває, коли з нами зв'язуються. Локк на даний момент пішов у тінь, але у нього є інвестиції в групу «Гранат». Якщо ми завдамо серйозної шкоди їхнім фінансам, це зашкодить і Локку, тож я маю для тебе невеличку роботу, яка зробить це саме так."
"sm_45_name","Carbon Payback"
"sm_45_obj","Complete the Diamond Heist on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_46_desc","Hey gang, I think you guys need a break from D.C. and I've got something real old-school lined up for you. An old friend of mine in the Cabot family, out in La La Land, needs some extra people. It's another job against the Garnet group, which means... more diamonds. I owe this guy a favor from way back, so I need you to get out there and help him. And the payday's good, anyway. Show those Hollywood cosmo-drinkers how the pro's from D.C. handle things. It should be a cakewalk."
"sm_46_name","Black Suit Blues"
"sm_46_obj","Complete the Reservoir Dogs job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_47_desc","Friends, I promise I will see you to the end of this, yeah? Bain has been secretly searching for some kind of Holy Grail Dinges for a long time and I am committed to help. He may be gone, but the search will continue. Duke has managed to start uncovering a lot of new leads on it, digging through volumes of ancient lore. Before he got taken, Bain set up a plan to find an artifact buried in the foundation of a bank in Brooklyn. This artifact was put there in the early 1900s and may contain clues we need."
"sm_47_name","Old Town, New Captain"
"sm_47_obj","Complete the Brooklyn Bank job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_48_desc","If we believe his message, Bain is truly dead. And the Elephant has been arrested. According to Garrett's email logs, the people behind Bain's capture are called The Kataru; they seem to be some kind of ancient and secret society that uses Murkywater as a front. They are offering to trade Bain's body to Garrett in return for some object connected to Bain's grail-thing, which Duke says is called Baldwin's Lament, or something. So if we're going to finish what Bain started and find this thing, whatever it is, we need that object. And it would be fitting payback to put that chop in a kakspul of trouble, yeah?"
"sm_48_name","Garrett's Foil"
"sm_48_obj","Complete the Breakin' Feds job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_49_desc","Dear friends, I knew I had seen something like the Elephant box before, and remembered a visit I once paid to a secret Murkywater storage and research facility out in the desert. This place is basically the heart of Murky, full of insane projects, and what little I saw made me begin to question how much longer I wanted to work with those dwankies. I had a friend help me hack into the security feed and we've managed to find out that they are in fact holding two almost identical cases. Duke is pretty sure the Kataru were trying to gather them for some reason connected to Baldwin's Lament."
"sm_49_name","There's Something in the Desert"
"sm_49_obj","Complete the Henry's Rock job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_4_desc","Well, you've done it now. You're a heister. You're in the club. And one of the perks of said club is connections. Meet Gage. He's going to get us guns and help us move loot, so consider him a valuable ally. He's got a bit of dock-side burglary for you to take care of - keep it real quiet-like."
"sm_4_name","Midnight Heist"
"sm_4_obj","Secure four bags in the Shadow Raid job. This can be done in multiple playthroughs.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_50_desc","The Elephant, now released from lockup after being falsely charged by that chop Garrett with fake Kataru evidence, is looking for some payback. Looks like he's going to help us find Baldwin's Lament, and Bain too. He's tipped us off about an auction taking place in Salem, Massachusetts where they're offering items from a shipwreck recently discovered in Antarctica. According to the notes and research left by Duke's grandfather, one of the passengers was somehow involved with the Kataru. This passenger was apparently traveling to an unknown location and hoped to divert the course of the ship when it disappeared in 1905. Something he carried with him is apparently important, and you know... an auction with lots of nice, juicy antiques might just boost our coffers a bit, yeah?"
"sm_50_name","The Lost Recovered"
"sm_50_obj","Complete the Shacklethorne Auction job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_51_desc","OK, here we go. Those Kataru dwankies have had their nasty paws on our Bain for far too long. With information provided by the Elephant, I have managed to find where Bain is being kept. Murkywater has many facilities and this is one of the worst- a run-down prison they bought from the US military in the 70s, located on a small island with a lighthouse. No one pays attention to the place as long as the lighthouse works, because the Murkies are running it through a utilities subsidiary. The prison was originally used to hold Japanese POWs after Pearl Harbor and has been equipped with advanced medical facilities. When I was with Murky, rumor was they did some very nasty experiments there. I'm working on a plan to get you in there and extract Bain. Let's hope we're not too late."
"sm_51_name","Lazarus Down"
"sm_51_obj","Complete the Hell's Island job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_52_desc","Dear friends, the Dentist and those Murky keks have infected Bain with a strange virus while they had him. I managed to pull some information from the Murky mainframe and recognize the codename. The virus is a refined strain of something they got hold of many years ago, when they were contracted by the US government to develop biological toxins using loopholes in existing bio-warfare treaties. I had an old bio-med contact look at it and, while the virus isn't contagious, the situation is blerrie awful. There is no cure. Bain only has, at most, a few days until he is consumed from within. I asked Chains once when Bain's obsession with this whole secret dinges started, and he told me about the Cagliostro manuscript being payment for a hospital job many years ago, involving the blood of a patient in isolation. I remember an incident back at Murky around the same time, with a huge scandal and coverup. One of the... volunteers... Murky was doing medical tests on had gotten out and needed to be contained. It can't be a coincidence. Maybe Bain's search, will ultimately be his end."
"sm_52_name","Turnaround"
"sm_52_obj","Complete the No Mercy job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_53_desc","Бейн знає, що його час спливає, але він дуже хоче, щоб його команда, всі ми, отримали заслужену винагороду до того, як все закінчиться. Він завжди говорив про «найбільше пограбування» чи щось таке... і я ніколи не знав, що він мав на увазі, до цього моменту. Це так - наприкінці громадянської війни в Америці президент Лінкольн помилував солдатів Конфедерації, щоб допомогти об'єднати країну. Щоб полегшити їх розповсюдження, багато документів залишилися без правонаступників, і були доставлені його генералами. Як виявилося, деякі з цих помилувань все ще існують, заховані... у проклятому Білому домі. І послухайте це, друзі - вони все ще законні! Уявіть, що ми зможемо уникнути відповідальності за все, що ми зробили, і піти на спокій... це дійсно було б щось грандіозне, так? Ну що ж, хлопці, ми це зробимо. Тепер, коли будівлю гарненько випорожнили ті придурки, що спричинили весь світовий галас, ми, мабуть, зможемо потрапити всередину. Схоже, що будівлю охороняє лише кістяк бригади Меркі - без сумніву, маневрований Дантистом після того, як Секретна служба та інші відомства переїхали. Але це буде нелегко... і це буде робота за принципом «все або нічого». Якщо ми зазнаємо невдачі, це кінець. Цього разу по-справжньому."
"sm_53_name","The Greatest Heist of All"
"sm_53_obj","Complete The White House job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_5_desc","Чудова робота. Це означає, що ви починаєте ставати відомим. І, врешті-решт, погана слава - це ваша кров. Розумієте, гроші можуть вкрасти. Золото може прийти і піти. Але слава - ось чого ти справді вартий. Тож давайте ще трохи."
"sm_5_desc_old","Чудова робота. Змусили цих гопників з Мерківотер чухати дупи і гадати, куди ж поділося їхнє лайно. Гейдж щасливий, а Мерківотер - ні. Це означає, що ви починаєте ставати відомим. І, врешті-решт, погана слава - це ваша кров. Розумієте, гроші можуть вкрасти. Золото може прийти і піти. Але слава - ось чого ти справді вартий. Тож давайте ще трохи."
"sm_5_name","Фортуна та Слава"
"sm_5_obj","Виконайте завдання «Банк Go» і «Магазин Діамантів».$NL;Для цього завдання потрібно грати від початку у лобі до завершення пограбування."
"sm_5_obj_consoles","Complete the Diamond Store job.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_6_desc","Outstanding. People are starting to hear about the Payday Gang. I told you notoriety matters. You need it to get the real big scores. And the people who supply those scores are watching. They're waiting to see what you can do. I think I have just the jobs to do that."
"sm_6_name","Time to show off"
"sm_6_obj","Complete at least three Transport heists.$NL;Complete the Transport: Train Heist and steal the turret prototype.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_7_desc","You proved you have what it takes to get in, get loud and get the job done. That brings contacts our way. Here's our first - Vlad Kozak. Vlad's crazy. Even for someone spat from the Russian mobscene, this big guy stands apart, Well, he likes your work. We'll see if that's a good thing. But before he lets you into bed with him, you're going to have to do a little grunt work."
"sm_7_name","International Connections"
"sm_7_obj","Complete the Mallcrasher and Four Store jobs on hard or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
