"--101eced83d19b81f","Захід"
"menu_button_aim_down_sight","Цільтеся в приціл"
"menu_button_brake","Гальмо/задній хід"
"menu_button_cash_inspect","Оглянути зброю."
"menu_button_change_equipment","Змінити розгортання"
"menu_button_change_weapon","Змініть Зброю"
"menu_button_chat_message","Повідомлення в чаті"
"menu_button_continue","Продовжуйте лобіювати"
"menu_button_crouch","Присядь."
"menu_button_deploy","Розгортання спорядження / кидання мішка"
"menu_button_deploy_bipod","Розгорнути сошки"
"menu_button_drop_in_accept","Приймаємо вхідні дзвінки"
"menu_button_drop_in_kick","Заходимо в гості"
"menu_button_drop_in_return","Зворотний візит"
"menu_button_fire_weapon","Вогнепальна зброя"
"menu_button_handbrake","Ручне гальмо."
"menu_button_hide","Приховати"
"menu_button_ingame_menu","Внутрішнє ігрове меню"
"menu_button_jump","Стрибнути"
"menu_button_look","Поглянь."
"menu_button_melee","(натиснути) Атака ближнього бою"
"menu_button_melee_WIN32","Атака ближнього бою"
"menu_button_move","Відійди."
"menu_button_move_back","Відійдіть назад."
"menu_button_move_forward","Рухайся вперед"
"menu_button_move_left","Переміщення вліво (страйк)"
"menu_button_move_right","Переміщення вправо (обстріл)"
"menu_button_next_weapon","Наступна зброя"
"menu_button_previous_weapon","Попередня зброя"
"menu_button_push_to_talk","Поштовх до розмови"
"menu_button_reload","Перезарядити"
"menu_button_shout","Кричати/взаємодіяти"
"menu_button_shout_and_stop","Shout/Interact ''Tap'' or Stop AI ''Hold''"
"menu_button_shout_secondary","Зупинити ШІ."
"menu_button_show","Показати"
"menu_button_sprint","(натиснути) Запуск"
"menu_button_sprint_WIN32","Біг"
"menu_button_stats_screen","Екран місії"
"menu_button_steering","Рульове управління"
"menu_button_switch_weapon","Змінити зброю"
"menu_button_throw_grenade","Кидай гранату."
"menu_button_throwable","Використовуйте Throwable"
"menu_button_toggle_hud","Переключити HUD"
"menu_button_turn_left","Повернути ліворуч"
"menu_button_turn_right","Повернути праворуч"
"menu_button_unassigned","Н/П"
"menu_button_vehicle_change_camera","Змінити режим камери"
"menu_button_vehicle_exit","Вийти з транспорту"
"menu_button_vehicle_rear_camera","Озирнись."
"menu_button_vehicle_shooting_stance","Поза для зйомки пасажира"
"menu_button_weapon_firemode","Режим ведення вогню ОДИН/АВТО"
"menu_button_weapon_gadget","Увімкнення/вимкнення гаджета"
"menu_button_weapon_gadget_bipod","Gadget ''Tap'' or Bipod ''Hold'' on/off "
"menu_button_weapon_slot1","Вторинна"
"menu_button_weapon_slot2","Початковий"
"menu_buy","Купити"
"menu_buy_full_game","Натисніть тут, щоб купити PAYDAY 2!"
"menu_buy_full_game_help","Відвідайте Steam зараз, щоб придбати PAYDAY 2, яка подарує вам неперевершений досвід пограбування. Повна версія гри містить набагато більше контенту: пограбування, персонажі, зброя та багато іншого! Придбайте PAYDAY 2 зараз!"
"menu_buy_upgrades","Придбати покращення"
"menu_c45_recoil1_info","подовження ствола Mk.I."
"menu_c45_recoil3_info","подовження ствола Mk.II."
"menu_cable_guy","Кабельник."
"menu_cable_guy_beta","Впевнений."
"menu_cable_guy_beta_desc","БАЗОВИЙ: ##$basic;##$NL;Сила та дальність вашого залякування збільшується на ##$multibasic2;## $NL;$NL;ACE: ##$pro;##$NL;Тепер ви можете мати одночасно ##$multipro2;## навернених ворогів."
"menu_cable_guy_desc","БАЗОВИЙ: ##$basic;##$NL;Ви можете зв'язувати заручників ##$multibasic;## швидше.$NL;$NL;ACE: ##$pro;##$NL;Збільшує ваш запас кабельних стяжок на ##$multipro;##."
"menu_camera_sensitivity","ЧУТЛИВІСТЬ ПОГЛЯДУ"
"menu_camera_sensitivity_help","Збільшуйте або зменшуйте швидкість реагування на введення вигляду."
"menu_camera_sensitivity_horizontal","ЧУТЛИВІСТЬ ПОГЛЯДУ ПО ГОРИЗОНТАЛІ"
"menu_camera_sensitivity_horizontal_help","Збільшуйте або зменшуйте швидкість реагування на введення горизонтального вигляду."
"menu_camera_sensitivity_vertical","ВЕРТИКАЛЬНА ЧУТЛИВІСТЬ ПОГЛЯДУ"
"menu_camera_sensitivity_vertical_help","Збільшуйте або зменшуйте швидкість реагування на вертикальне введення вигляду."
"menu_camera_zoom_sensitivity","ЧУТЛИВІСТЬ ПРИЦІЛЮВАННЯ"
"menu_camera_zoom_sensitivity_help","ЗБІЛЬШИТИ АБО ЗМЕНШИТИ ШВИДКІСТЬ РЕАКЦІЇ ВАШОГО ПОГЛЯДУ ПІД ЧАС ПРИЦІЛЮВАННЯ."
"menu_camera_zoom_sensitivity_horizontal","ЧУТЛИВІСТЬ ГОРИЗОНТАЛЬНОГО ПРИЦІЛЮВАННЯ"
"menu_camera_zoom_sensitivity_horizontal_help","Збільшуйте або зменшуйте чутливість входу для горизонтального прицілювання."
"menu_camera_zoom_sensitivity_vertical","ЧУТЛИВІСТЬ ВЕРТИКАЛЬНОГО ПРИЦІЛЮВАННЯ"
"menu_camera_zoom_sensitivity_vertical_help","Збільште або зменште чутливість вашого вертикального наведення."
"menu_campaign","ПОГРАБУВАННЯ"
"menu_carbon_blade","Вуглецеве лезо"
"menu_carbon_blade_beta","Різанина з пилкою"
"menu_carbon_blade_beta_desc","BASIC: ##$basic;##$NL;Зменшення зносу лез на ворогах на ##$multibasic2;##.$NL;$NL;ACE: ##$pro;##$NL;Тепер ви можете розпилювати ворогів зі щитами за допомогою портативної пилки OVE9000. Убиваючи ворога пилкою, ви маєте ##$multipro;## шанс викликати паніку у ворогів у радіусі ##$multipro3;## м. Паніка змусить ворогів впадати в короткі спалахи неконтрольованого страху."
"menu_carbon_blade_desc","BASIC: ##$basic;##$NL;Ви замінюєте пиляльні полотна на карбонові, збільшуючи ефективність пилки на ##$multibasic;##.$NL;##$NL;ACE: ##$pro;##$NL;Атакуючи ворогів портативною пилкою OVE9000, ви зношуєте її ##$multipro;## менше, ніж раніше. Пила ##$multipro2;## ефективніша.$NL;$NL;Ви можете використовувати портативну пилу OVE9000 як вторинну зброю."
"menu_cash","##Готівка##: $money;"
"menu_cash_assets","Витрати на активи"
"menu_cash_balance","Баланс"
"menu_cash_bonus_bags","Предмети здобичі з мішків"
"menu_cash_civ_kill","Витрати на прибирання"
"menu_cash_costs","Витрати"
"menu_cash_crew","Бонус за виживання екіпажу"
"menu_cash_income","Дохід"
"menu_cash_job","Оплата за контрактом: гроші;"
"menu_cash_safe_overdrill_title","Відкриваю $SAFE;"
"menu_cash_safe_result","$quality; ##$name;##$name;##"
"menu_cash_safe_result_bonus","+ $bonus;"
"menu_cash_spending","Витрачання готівки"
"menu_cash_stage","Денна ставка: $money;"
"menu_cash_vehicles","Викрадені транспортні засоби"
"menu_casino_choice_bet","$BTN_X; Зробити ставку"
"menu_casino_choice_exit","$BTN_X; Назад"
"menu_casino_cost_fee","Початковий внесок"
"menu_casino_option_infamous_chance","$шанс; збільшення ймовірності"
"menu_casino_option_infamous_title","Сумнозвісна якість"
"menu_casino_option_prefer_none","Нічого"
"menu_casino_option_prefer_title","Бажаний тип картки"
"menu_casino_option_safecard1","1 картка захищена"
"menu_casino_option_safecard2","2 картки захищено"
"menu_casino_option_safecard3","3 картки в безпеці"
"menu_casino_option_safecard_lock","Заблоковано на рівні $level;"
"menu_casino_option_safecard_title","Безпечні картки"
"menu_casino_option_token1","(Залишився 1 токен PAYDAY!)"
"menu_casino_option_token_title","Використовуйте токен PAYDAY"
"menu_casino_option_tokens","($токени; залишилися токени PAYDAY!)"
"menu_casino_stat_base","База"
"menu_casino_stat_bets","Ставки"
"menu_casino_stat_colors","Колір"
"menu_casino_stat_masks","Маска"
"menu_casino_stat_materials","Матеріал"
"menu_casino_stat_skill","Уміння"
"menu_casino_stat_textures","Візерунок"
"menu_casino_stat_total","Загалом"
"menu_casino_stat_weapon_mods","Мод на зброю"
"menu_casino_title_betting","Ставки"
"menu_casino_title_breakdown","Розподіл ставок"
"menu_casino_title_main","Офшорний день зарплати"
"menu_casino_title_stats","Ймовірності падіння"
"menu_casino_total_bet","Загальна ставка: $casino_bet;"
"menu_cat_burglar","Кіт-злодій."
"menu_cat_burglar_desc","БАЗОВИЙ: ##$basic;##$NL;Ви отримуєте ##$multibasic;## менше шкоди від падіння з несмертельної висоти.$NL;$NL;ACE: ##$pro;##$NL;Ваша шкода від падіння зменшується так, що ви отримуєте лише шкоду від броні при падінні з несмертельної висоти. Ваш час утримання під вартою зменшується на ##$multipro;##."
"menu_cell_mates","Хранитель брата"
"menu_cell_mates_desc","BASIC: ##$basic;##$NL;Шкода, яку вам завдають головорізи, зменшується на ##$multibasic;##.$NL;$NL;ACE: ##$pro;##$NL;Збиток, який завдають вам головорізи, зменшується на додаткову ##$multipro;##."
"menu_cf2017_job_1","Загадка 1: Політ"
"menu_cf2017_job_1_desc","Піджак знайшов дещо, що може вам сподобатися, але щоб отримати це, вам доведеться перестрибнути через кілька обручів."
"menu_cf2017_job_1_obj","Розгадайте загадку, знайдену в день 2 на домашній сторінці Locke & Load."
"menu_cf2017_job_1_obj_desc","Розгадайте загадку, знайдену на другий день на сайті події Locke & Load."
"menu_cf2017_job_1_reward","Спеціальна штурмова рамка для пістолета-кулемета Kobus 90."
"menu_cf2017_job_2","Загадка 2: Честь"
"menu_cf2017_job_2_desc","Піджак знайшов дещо, що може вам сподобатися, але щоб отримати це, вам доведеться перестрибнути через кілька обручів."
"menu_cf2017_job_2_obj","Мета завдання 2"
"menu_cf2017_job_2_obj_desc","Розгадайте загадку знайдену на 4 дні на вебсайті події Locke & Load."
"menu_cf2017_job_2_reward","Спеціально виготовлена рамка для пістолета-кулемета Mark 10."
"menu_cf2017_job_3","Загадка 3: Зачепити барана"
"menu_cf2017_job_3_desc","Піджак знайшов дещо, що може вам сподобатися, але щоб отримати це, вам доведеться перестрибнути через кілька обручів."
"menu_cf2017_job_3_obj","Мета завдання 3"
"menu_cf2017_job_3_obj_desc","Розгадайте загадку, знайдену на 6-й день на сайті Locke & Load Event."
"menu_cf2017_job_3_reward","Фрезерований на замовлення ствол для пістолета Deagle."
"menu_cf2017_job_4","Загадка 4: Знання - це сила"
"menu_cf2017_job_4_desc","Піджак знайшов дещо, що може вам сподобатися, але щоб отримати це, вам доведеться перестрибнути через кілька обручів."
"menu_cf2017_job_4_obj","Мета завдання 4"
"menu_cf2017_job_4_obj_desc","Розгадайте загадку, знайдену на 8-й день на сайті Locke & Load Event."
"menu_cf2017_job_4_reward","Титанова рамка на замовлення для пістолета Бернетті 9."
"menu_cf2017_job_5","Загадка 5: Тиша"
"menu_cf2017_job_5_desc","Піджак знайшов дещо, що може вам сподобатися, але щоб отримати це, вам доведеться перестрибнути через кілька обручів."
"menu_cf2017_job_5_obj","Мета завдання 5"
"menu_cf2017_job_5_obj_desc","Розгадайте загадку, знайдену на 10-й день на сайті події Locke & Load."
"menu_cf2017_job_5_reward","Індивідуальна посилена рамка для рушниці судді."
"menu_cf2017_jobs","Crimefest 2017"
"menu_cg22_1","Щаслива зірка"
"menu_cg22_1_desc","Я б побажав вам удачі, але коли у вас є така потужна зброя, удача тут ні до чого."
"menu_cg22_1_reward","Гвинтівка North Star + 200k XP"
"menu_cg22_1_track_obj","Досягнута перша віха спільноти"
"menu_cg22_2","Премія ''Сузір'я"
"menu_cg22_2_desc","Гвинтівка - це круто. Гвинтівка з модами - ще крутіше."
"menu_cg22_2_reward","Частина 1 Mod Pack North Star + 300k XP"
"menu_cg22_2_track_obj","Досягнута друга віха спільноти"
"menu_cg22_3","Діаманти в небі"
"menu_cg22_3_desc","Більше модифікацій! Більше модифікацій! БІЛЬШЕ МОДІВ! БІЛЬШЕ МОДІВ!"
"menu_cg22_3_reward","Частина 2 модного пакету ''Полярна зірка'' + 300k XP"
"menu_cg22_3_track_obj","Досягнута третя віха спільноти"
"menu_cg22_4_track_obj","Досягнуто четвертого етапу розвитку спільноти"
"menu_cg22_5_track_obj","Досягнуто п'ятого етапу розвитку спільноти"
"menu_cg22_6_track_obj","Досягнута шоста віха спільноти"
"menu_cg22_community_1","Обмін подарунками"
"menu_cg22_community_1_desc","А, так, крадіжка у копів. Наша улюблена святкова традиція!"
"menu_cg22_community_1_reward","Маленький Грабувальник Санти - вічнозелений костюм і брелок Тедді Му"
"menu_cg22_community_2","Ніяких подарунків для вас"
"menu_cg22_community_2_desc","Санта, мабуть, помилився, подарувавши копам всі ці гарні подарунки. Виправте цю помилку."
"menu_cg22_community_2_reward","Маленький Хейстер Санти - костюм святкового духу"
"menu_cg22_community_3","Обмороження"
"menu_cg22_community_3_desc","Всупереч поширеній думці, сніговики насправді зроблені зі сталевої броні!"
"menu_cg22_community_3_reward","Маленький Грабіжник Санти - Костюм Неслухняного"
"menu_cg22_community_4","Подрібнення Різдва"
"menu_cg22_community_4_desc","Сподіваюся, вони зберегли чеки..."
"menu_cg22_community_4_reward","Колода перків для копіювання"
"menu_cg22_community_5","Огидний бульдозер"
"menu_cg22_community_5_desc","Ці снігові виродки добряче вдарили! У них хоч метелики симпатичні?"
"menu_cg22_community_5_reward","Костюм Санта Клауса - Зимове сонце"
"menu_cg22_community_6","Святковий настрій"
"menu_cg22_community_6_desc","Пограбування - це подарунок, який ви робите собі самі!"
"menu_cg22_community_6_reward","Маска ельфа (всі 4 версії)"
"menu_cg22_community_item_1_desc","Спільнота: Досягти першої віхи події ''Кримінальна коляда''."
"menu_cg22_community_item_2_desc","Спільнота: Досягти другої віхи події ''Кримінальна коляда''."
"menu_cg22_community_item_3_desc","Спільнота: Досягти третього етапу події ''Кримінальна коляда''."
"menu_cg22_community_item_4_desc","Спільнота: Досягти четвертої віхи події ''Кримінальна коляда''."
"menu_cg22_community_item_5_desc","Спільнота: Досягти п'ятого етапу події ''Кримінальна коляда''."
"menu_cg22_community_item_6_desc","Спільнота: Досягнуть шостої віхи події Кримінальної Колядки."
"menu_cg22_exp_bonus","Святковий бонус"
"menu_cg22_item_1","Подарунки захищені"
"menu_cg22_item_1_desc","Безпечний $max_progress; представлений на будь-якій складності."
"menu_cg22_item_2","Презентує Подрібнений"
"menu_cg22_item_2_desc","Жертвувати $max_progress; на будь-якій складності."
"menu_cg22_item_3","Сніговика убито"
"menu_cg22_item_3_desc","Вбийте $max_progress; юнітів Сніговика своєю командою на будь-якій складності."
"menu_cg22_item_4","Презентує Подрібнений"
"menu_cg22_item_4_desc","Жертвувати $max_progress; на будь-якій складності."
"menu_cg22_item_5","Вбито сніговиків"
"menu_cg22_item_5_desc","Вбийте $max_progress; Сніговиків зі своєю командою на будь-якій складності."
"menu_cg22_item_6","Подарунки захищені"
"menu_cg22_item_6_desc","Забезпечити принаймні $max_progress; на будь-якій складності."
"menu_cg22_personal_1","Снігова куля вбиває."
"menu_cg22_personal_1_desc","У грі A Criminal Carol вбийте загалом 100 ворогів сніжками на будь-якій складності."
"menu_cg22_personal_2","Убивств"
"menu_cg22_personal_2_desc","У грі A Criminal Carol вбийте загалом 500 ворогів з гвинтівки ''Полярна зірка'' на будь-якій складності."
"menu_cg22_personal_3","Особливих ворогів убито"
"menu_cg22_personal_3_desc","У грі A Criminal Carol вбийте загалом 150 особливих ворогів з гвинтівки ''Північна зірка'' на складності Overkill або вище."
"menu_cg22_post_objective_1","Вбиває."
"menu_cg22_post_objective_1_desc","Вбийте 2000 ворогів з любої снайперської гвинтівки."
"menu_cg22_post_objective_2","Вбито маскувальників"
"menu_cg22_post_objective_2_desc","Убийте 150 плащів з гвинтівки ''Північна зірка'' на дуже високій складності або вище."
"menu_cg22_post_objective_3","Подвійних убивств"
"menu_cg22_post_objective_3_desc","Виконайте 1000 подвійних вбивств з гвинтівки ''Північна зірка'' на будь-якій складності."
"menu_cg22_post_objective_4","Здобич здобуто"
"menu_cg22_post_objective_4_desc","Здобути 20 мішків зі здобиччю (з подальшою успішною втечею) на будь-якій складності."
"menu_cg22_post_objective_5","Вбито бульдозеристів"
"menu_cg22_post_objective_5_desc","Убийте 40 дозаторів на рівні складності ''Надмірне вбивство'' або вище."
"menu_cg22_post_objective_6","Здобич здобуто"
"menu_cg22_post_objective_6_desc","Здобути 100 мішків здобичі (з подальшою успішною втечею) на будь-якій складності."
"menu_cg22_post_objective_7","Здобич здобуто"
"menu_cg22_post_objective_7_desc","Здобути 250 мішків здобичі (з подальшою успішною втечею) на будь-якій складності."
"menu_cg22_post_objective_8","Вбито бульдозеристів"
"menu_cg22_post_objective_8_desc","Убийте 200 дозаторів на складності Overkill або вище."
"menu_cg22_post_objective_9","Здобич здобуто"
"menu_cg22_post_objective_9_desc","Здобути 500 мішків здобичі (з подальшою успішною втечею) на будь-якій складності."
"menu_challenge_about_to_expire","Термін дії закінчується менш ніж за 1 годину!"
"menu_challenge_about_to_expire_extended","ДО ЗАКІНЧЕННЯ ТЕРМІНУ ДІЇ"
"menu_challenge_any_100_headshot_kills","Практика пострілу в голову"
"menu_challenge_any_100_headshot_kills_desc","Точність і ефективність часто йдуть пліч-о-пліч з жорстоким милосердям. Ми, принаймні більшість з нас, не отримуємо задоволення від вимушеного знищення ворогів, тож чому б не полегшити їхні страждання швидким вбивством?"
"menu_challenge_any_100_headshot_kills_obj","Убийте 100 ворогів пострілами в голову, використовуючи зброю на свій вибір."
"menu_challenge_any_25_shield_kills","Побудуйте пліт зі щитів"
"menu_challenge_any_25_shield_kills_desc","Убийте 25 щитів, використовуючи зброю на ваш вибір."
"menu_challenge_any_25_sniper_kills","Снайперіно"
"menu_challenge_any_25_sniper_kills_desc","Убийте 25 снайперів, використовуючи зброю на вибір."
"menu_challenge_any_25_spooc_kills","У темряву"
"menu_challenge_any_25_spooc_kills_desc","Убийте 25 маскувальників, використовуючи зброю на свій вибір."
"menu_challenge_any_25_tank_kills","Бульдозер"
"menu_challenge_any_25_tank_kills_desc","Убийте 25 бульдозерів, використовуючи зброю на свій вибір."
"menu_challenge_any_25_taser_kills","Змащена блискавка"
"menu_challenge_any_25_taser_kills_desc","Убийте 25 тазерів, використовуючи зброю на свій вибір."
"menu_challenge_any_300_kills","Масовий вбивця."
"menu_challenge_any_300_kills_desc","Убийте 300 ворогів з обраної вами зброї."
"menu_challenge_any_50_headshot_kills","В голову!"
"menu_challenge_any_50_headshot_kills_desc","Є одне місце, яке, як відомо, б'є найболючіше... Убийте 50 ворогів пострілами в голову, використовуючи зброю на свій вибір."
"menu_challenge_any_6_jobs","Рекордно низький рівень злочинності"
"menu_challenge_any_6_jobs_desc","Надходять повідомлення про те, що рівень злочинності є найнижчим за останнє десятиліття. Давайте щось з цим зробимо, виконайте 6 завдань на будь-яку складність."
"menu_challenge_any_6_jobs_objective","Виконані завдання: $progress;/$max_progress;"
"menu_challenge_armored_1","Нам потрібен більший човен."
"menu_challenge_armored_1_desc","Старий Захід помилявся. Найкраще грабувати потяг, коли він стоїть на місці. Менше поїздок, щоб обчистити його, і менше навантаження на коней, розумієте?"
"menu_challenge_armored_1_objective","На транспорті: Пограбуйте потяг, викрадіть і заберіть 20 мішків з боєприпасами."
"menu_challenge_armored_2","Але зачекайте - це ще не все!"
"menu_challenge_armored_2_desc","Ви не повірите, скільки всього можна знайти в броньованих автомобілях, якщо добре пошукати. Але ви маєте здивуватися, навіщо комусь перевозити креслення вантажівкою в наш час..."
"menu_challenge_armored_2_objective","Для будь-якого пограбування броньованого транспорту знайдіть план пограбування поїзда."
"menu_challenge_armored_3","Треба було обручку на нього надіти."
"menu_challenge_armored_3_desc","Золото на колесах. Хіба це не мило? Якщо вам вдасться зловити кілька штук, не забудьте привезти багато гарних мішечків блискучих цеглинок."
"menu_challenge_armored_3_objective","Завершіть будь-яке пограбування броньованого транспорту, забравши щонайменше 9 мішків золота."
"menu_challenge_art_ghost","Привид галереї"
"menu_challenge_art_ghost_desc","Іноді найкращий спосіб довести, що такі злодії, як ми, можуть бути такими ж культурними, як і мистецькі сноби, - це забрати їхні коштовності по-доброму, без розбиття черепів."
"menu_challenge_art_ghost_obj","У завданні ''Художня галерея'' викрасти всі позначені картини і піти непомітно, нікого не вбиваючи. Щоб виконати це завдання, ви повинні пройти всю гру від початку до кінця."
"menu_challenge_assault_rifle_100_kills","Практика стрільби по мішенях: Штурмова гвинтівка"
"menu_challenge_assault_rifle_100_kills_desc","Убийте 100 ворогів, використовуючи лише штурмові гвинтівки."
"menu_challenge_bain_4_jobs","Досить!"
"menu_challenge_bain_4_jobs_desc","Бейн відчайдушно потребує вашої уваги. Виконайте 4 завдання Бейна на будь-яку складність."
"menu_challenge_bain_4_jobs_objective","Виконані завдання: $progress;/$max_progress;"
"menu_challenge_bat_3","Культурні стерв'ятники"
"menu_challenge_bat_3_desc","Деякі люди ніколи не задовольняються. Дайте їм діаманти, а вони все одно захочуть більше. Гейстери зазвичай належать до таких людей, чи не так?"
"menu_challenge_bat_3_objective","У завданні ''Діамант'' отримайте 10 мішків додаткової здобичі."
"menu_challenge_bat_4","Дим і дзеркала"
"menu_challenge_bat_4_desc","Іноді важливо не лише бути тихим. Швидкість може бути не менш важливою для професіонала. Чим більша робота, тим вищий її престиж, якщо ви можете успішно поєднувати обидві ці якості."
"menu_challenge_bat_4_objective","У завданні ''Діамант'' викрадіть діамант і втечіть менш ніж за 10 хвилин."
"menu_challenge_bat_6","Діаманти в необробленому вигляді"
"menu_challenge_bat_6_desc","Хаос і безлад можуть бути досить веселими - особливо, якщо ви є їх причиною. Ніколи не втрачайте шанс зіпсувати очікування ворогів..."
"menu_challenge_bat_6_objective","У завданні ''Діамант'' вам потрібно зібрати діамантовий пазл, потім цілеспрямовано увімкнути сигналізацію, викрасти діамант і втекти на рівні складності OVERKILL або вище."
"menu_challenge_berry_2","Чистий дім"
"menu_challenge_berry_2_desc","Коли ви проникаєте в глибокий, темний і секретний об'єкт, вам потрібно переконатися, що він не містить цінностей, коли прийде час повертатися до конспіративної квартири."
"menu_challenge_berry_2_objective","У завданні ''Під горою'' заховайте всю здобич зі сховищ і вершини гори у рятувальному вертольоті."
"menu_challenge_berry_3","Екіпаж коммандос"
"menu_challenge_berry_3_desc","Якщо кожен хейстер виконує свою частину роботи, то справу можна виконати дуже швидко. Давайте перевіримо, чи зможете ви виконати роботу з жорстокою точністю спецназівця."
"menu_challenge_berry_3_objective","У завданні ''Під горою'' відкрийте 4 сховища зі здобиччю протягом 10 хвилин після початку пограбування на складності OVERKILL або вище."
"menu_challenge_big_deal","Велика справа."
"menu_challenge_big_deal_desc","Слону дуже багато залежить від роботи з обрамленням кадру. Не залишайте місця для помилок. Обміняйте дев'ять картин."
"menu_challenge_big_deal_objective","На 2-й день завдання ''Обрамлення рами'' обміняйте 9 картин."
"menu_challenge_bigbank_3","''Солодкі шістнадцять"
"menu_challenge_bigbank_3_desc","Ви здивуєтеся, скільки може нести одна людина. Скільки поїздок до сховища ви можете витримати?"
"menu_challenge_bigbank_3_objective","Виконайте завдання ''Великий банк'', отримавши 16 захищених мішків."
"menu_challenge_bigbank_4","12 хвилин гніву"
"menu_challenge_bigbank_4_desc","Коли спрацьовує будильник, ти злишся. Він гучний і дуже відволікає. А ще вона приносить пухнастість. Тому, коли він спрацьовує, заходьте і швидко виходьте."
"menu_challenge_bigbank_4_objective","У завданні ''Великий банк'' завершіть пограбування менш ніж за 12 хвилин на складності ''Важко'' або вище."
"menu_challenge_bigbank_5","Не приносьте спеку"
"menu_challenge_bigbank_5_desc","Якщо вони не знають, що ти там, вони не викличуть копів. Це робить втечу звідти набагато менш клопіткою справою."
"menu_challenge_bigbank_5_objective","У завданні ''Великий банк'' завершіть пограбування, не спрацювавши сигналізацію."
"menu_challenge_bob_4","Мисливець за сховищами"
"menu_challenge_bob_4_desc","Слону завжди потрібно кілька зайвих доларів для його нечесних кампаній. Заберіть всю додаткову здобич зі сховищ у День виборів 2."
"menu_challenge_bob_4_objective","На другий день завдання ''День виборів'' викрасти все зайве зі сховищ."
"menu_challenge_bob_8","Гаряча Лава 2.0"
"menu_challenge_bob_8_desc","Стоматолог приготував для вас незвичайне випробування. Він хоче побачити, як ви будете користуватися комп'ютером у день виборів (день 1), не вмикаючи будильник і не торкаючись землі."
"menu_challenge_bob_8_objective","У день 1 завдання ''День виборів'' використовуйте комп'ютер непомітно, не торкаючись землі."
"menu_challenge_born_5","Повний газ"
"menu_challenge_born_5_desc","Коли Бейн чогось хоче, він іноді хоче цього швидко. Це один з таких випадків. Насправді, він хоче цього швидше, ніж зазвичай!"
"menu_challenge_born_5_objective","Виконайте завдання другого дня The Biker Heist за 120 секунд на складності OVERKILL або вище."
"menu_challenge_brb_8","Все золото в Брукліні"
"menu_challenge_brb_8_desc","Якщо взяти до уваги все планування і роботу, пов'язану зі зломом сховища, то варто витягти з нього якомога більше золота, щоб воно того вартувало."
"menu_challenge_brb_8_objective","На Бруклінському банку Джоб втекти з принаймні 12 мішками золота на дуже важкій складності або вище."
"menu_challenge_butcher_4_jobs","Ти потрібен М'ясникові!"
"menu_challenge_butcher_4_jobs_desc","М'ясник відчайдушно потребує вашої уваги. Виконайте 4 завдання М'ясника на будь-якій складності."
"menu_challenge_butcher_4_jobs_objective","Виконані завдання: $progress;/$max_progress;"
"menu_challenge_cac_12","Я впевнений, що ніхто цього не чув."
"menu_challenge_cac_12_desc","Це рідкісна майстерність, яка дозволяє їм зберігати холоднокровність і виконувати роботу навіть після того, як їхня присутність буде виявлена, а човен з ''Хлопцями в блакитному'' вже на шляху до них."
"menu_challenge_cac_12_objective","В ''Українському завданні'' завершіть пограбування непомітно після спрацьовування сигналізації металошукачів."
"menu_challenge_cac_21","Я можу зробити це швидше!"
"menu_challenge_cac_21_desc","Коли зомбі гризуть твою дупу, мародерство не є пріоритетом для більшості. Але грабіжники не можуть зупинитися, коли перед ними відкриваються сейфи..."
"menu_challenge_cac_21_objective","У завданні Проклята кімната вбивств відкрийте щонайменше 6 сейфів за один прохід на дуже високій складності або вище."
"menu_challenge_cac_23","Я відчуваю себе Робіном Гудом!"
"menu_challenge_cac_23_desc","Sometimes, it's OK to indulge in the pure ego-driven satisfaction of showing your enemies just how superior your skills really are. Nothing says ''I can aim the shit out of you'' like using a bow and arrow against a firearm."
"menu_challenge_cac_23_objective","Виконайте завдання ''Під прикриттям'' з кожним членом команди, використовуючи лук без жодних модифікацій та звичайні стріли на складності OVERKILL або вище."
"menu_challenge_cane_4","Накачані та веселі"
"menu_challenge_cane_4_desc","Є певна брутальна елегантність в універсальності рушниці дванадцятого калібру, незалежно від того, чи це двостволка, чи одностволка, чи однозарядна, чи автоматична. Екіпаж з однаковим спорядженням виводить цю елегантність на ще вищий рівень."
"menu_challenge_cane_4_objective","Виконайте завдання ''Майстерня Санти'', коли всі гравці в команді використовують лише дробовики."
"menu_challenge_cane_5","Тільки Санта приносить подарунки"
"menu_challenge_cane_5_desc","Хороша хейстер вчиться обходитися лише найнеобхіднішим. Якщо ви зможете виконати роботу без жодних вигадливих доповнень, ваша винагорода буде набагато солодшою."
"menu_challenge_cane_5_objective","У завданні ''Майстерня Санти'' викрадіть 10 мішків зі здобиччю, не використовуючи жодного обладнання чи ресурсів гравця."
"menu_challenge_caribbean_pirate","Карибський пірат"
"menu_challenge_caribbean_pirate_desc","Мендози хочуть показати Кобрам, що означає грати в великих лігах. Дайте їм чотири сумки з метом в Щурах (День 2), але вкрадіть натомість оплату."
"menu_challenge_caribbean_pirate_objective","На другий день завдання Щура принесіть додаткові пакети з метом, але замість цього вкрадіть свою оплату."
"menu_challenge_cash_drop","Готівка"
"menu_challenge_cash_earned","Витрачання зароблених грошей: $progress; / $max_progress;"
"menu_challenge_cee_1","Потурати злочинам"
"menu_challenge_cee_1_desc","Бувають випадки, коли хочеться просто вистрілити в Місяць і подивитися, що з цього вийде. Але що ви будете робити, коли туди потрапите? Ну, космос досить великий..."
"menu_challenge_cee_1_objective","Досягніть 50 Рівня в Розгулі Злочинності."
